Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Porc_Over_Home,Porc_Over_Away,CustoGolHome,CustoGolAway,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_CG_A,DP_CG_A,CV_CG_A,MediaCustoGolHome,MediaCustoGolAway,Last_CG_H,Last_CG_A,Acima_Last_CG_H,Acima_Last_CG_A,Abaixo_Last_CG_H,Abaixo_Last_CG_A,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA,Zebra,Odds,prediction_label,prediction_score
2023-11-13,Brasil Nbb,19:30,União Corinthians,Mogi,1.37,3.03,152.5,1.88,1.86,-7.5,2.01,1.72,2oGy5dLm,0.729927,0.330033,0.5319149,0.53763443,0.05996001,0.0,0.0,,,143.624,59.243374,0.41248938,,,,0.0,0.0,102.05,0.0,0.0,0.0,0.0,0.0,0.5335442,0.007562639,0.10995226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.72,1,0.67
2023-11-13,Brasil Nbb,20:00,Flamengo,Cerrado,1.01,13.4,155.5,1.86,1.88,-20.5,1.98,1.74,zaEq3zj0,0.990099,0.07462686,0.53763443,0.5319149,0.064725876,0.0,0.0,,,,,,,,,0.0,0.0,92.92,227.5,0.0,0.0,0.0,0.0,1.2159685,0.007562639,0.09123959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.74,1,0.61
2023-11-13,Brasil Nbb,20:00,Franca,Pinheiros,1.17,4.87,164.5,1.8,1.86,-12.5,2.03,1.7,txFu4Gzf,0.85470086,0.2053388,0.5555556,0.53763443,0.060039666,0.0,0.0,,,,,,,,,0.0,0.0,112.53,196.7,0.0,0.0,0.0,0.0,0.8663229,0.023183828,0.12511809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.7,1,0.56
2023-11-13,Eua Nba,21:30,Toronto Raptors,Washington Wizards,1.22,5.15,225.5,1.8,2.08,-10.5,2.1,1.83,SMnZwyG2,0.8196721,0.19417475,0.5555556,0.48076922,0.013846888,0.8,1.0,,,279.634,86.75606,0.3102486,324.25,104.936325,0.32362783,198.286,441.246,256.8,322.08,0.0,0.0,0.0,0.0,0.87250537,0.10205665,0.09715971,0.08,0.016,13.75,0.69658715,0.7,0.0034128528,-2.56,-0.512,-8.105469,0.30452594,0.1,-0.20452593,Fora,1.83,1,0.52
2023-11-13,Cazaquistão Higher League,02:00,ChelSU Kostanay,Atyrau 2,1.21,4.04,146.5,1.83,1.83,-9.5,1.83,1.83,S2CHXcKK,0.8264463,0.24752475,0.5464481,0.5464481,0.07397103,0.0,0.0,,,,,,,,,0.0,0.0,362.1,0.0,1.0,0.0,0.0,0.0,0.76232845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.7
2023-11-13,Cazaquistão Higher League,04:30,Shymkent,Turan,1.35,2.99,158.5,1.83,1.83,-6.5,1.83,1.83,t6GLWHZQ,0.7407407,0.33444816,0.5464481,0.5464481,0.075188905,0.0,0.0,,,,,,,,,0.0,0.0,0.0,92.34,0.0,0.0,0.0,1.0,0.53440326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.61
2023-11-13,Cazaquistão Higher League,08:30,Karaganda,Tigers-KazATU,4.48,1.17,136.5,1.83,1.83,10.5,1.83,1.83,xx2iRecl,0.22321428,0.85470086,0.5464481,0.5464481,0.07791514,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82850385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casa,1.83,1,0.7
2023-11-13,China Cba,08:35,Ningbo Rockets,Shanghai,2.47,1.54,198.5,1.86,1.9,2.5,2.08,1.68,Q1C8PLem,0.4048583,0.64935064,0.53763443,0.5263158,0.05420895,0.0,0.0,,,1259.34,477.742,0.37935904,217.49,47.041737,0.21629378,0.0,0.0,1864.5,204.16,1.0,0.0,0.0,0.0,0.3279847,0.015044825,0.15044825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casa,2.08,1,0.7
2023-11-13,China Wcba Feminina,08:30,Guangdong F,Sichuan F,4.77,1.13,148.5,1.83,1.83,9.5,2.01,1.68,jDBZQcQD,0.2096436,0.88495576,0.5464481,0.5464481,0.09459936,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87249786,0.0,0.12647438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casa,2.01,1,0.6067
2023-11-13,China Wcba Feminina,08:30,Shandong F,Shanghai F,2.15,1.59,145.5,1.83,1.83,1.5,2.08,1.64,U3AwQHuK,0.4651163,0.6289308,0.5464481,0.5464481,0.0940471,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2117539,0.0,0.16727257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casa,2.08,1,0.7667
2023-11-13,Eua Ncaa,00:00,Washington,Nevada,1.49,2.74,152.5,1.91,1.91,-6.5,2.09,1.66,d4inzAZ1,0.67114097,0.3649635,0.5235602,0.5235602,0.036104444,0.0,0.0,,,,,,,,,0.0,0.0,79.5,0.0,0.0,0.0,1.0,0.0,0.4179118,0.0,0.16216315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.66,1,0.67
2023-11-13,Eua Ncaa,20:30,St. Johns,Michigan,1.8,2.0,150.5,1.83,1.83,-1.5,1.83,1.83,vodLfoB0,0.5555556,0.5,0.5464481,0.5464481,0.055555556,0.0,0.0,,,,,,,,,0.0,0.0,91.8,0.0,0.0,0.0,0.0,0.0,0.07443229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.6583
2023-11-13,Eua Ncaa,21:00,Florida State,Central Michigan,1.02,13.5,150.5,1.8,1.91,-20.5,1.91,1.8,djOWzCta,0.98039216,0.074074075,0.5555556,0.5235602,0.054466233,0.0,0.0,,,,,,,,,0.0,0.0,105.28,1062.0,0.0,1.0,0.0,0.0,1.2155224,0.04193086,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.8,1,0.57
2023-11-13,Eua Ncaa,21:00,Miami,Florida Intl,1.01,16.0,159.5,1.8,1.91,-21.5,2.0,1.73,lIpKh8F0,0.990099,0.0625,0.5555556,0.5235602,0.05259901,0.0,0.0,,,,,,,,,0.0,0.0,113.52,0.0,0.0,0.0,0.0,0.0,1.2462705,0.04193086,0.102369346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.73,1,0.57
2023-11-13,Eua Ncaa,21:00,Norfolk State,Hampton,1.3,3.47,146.5,1.83,1.83,-7.5,1.83,1.83,d4BD6erf,0.7692308,0.28818443,0.5464481,0.5464481,0.057415206,0.0,0.0,,,,,,,,,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.6433634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.6
2023-11-13,Eua Ncaa,21:00,Pennsylvania,Villanova,4.89,1.18,139.5,1.83,1.83,9.5,1.83,1.83,OGpFPuJ4,0.20449898,0.84745765,0.5464481,0.5464481,0.051956605,0.0,0.0,,,,,,,,,0.0,0.0,86.4,0.0,0.0,0.0,1.0,0.0,0.86437106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casa,1.83,1,0.63
2023-11-13,Eua Ncaa,21:00,Pittsburgh,Florida Gulf Coast,1.21,4.42,143.5,1.83,1.83,-10.5,1.91,1.8,WG68bcXp,0.8264463,0.22624435,0.5464481,0.5464481,0.052690625,0.0,0.0,,,,,,,,,0.0,0.0,90.78,385.56,0.0,0.0,0.0,0.0,0.8063278,0.0,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.8,1,0.82
2023-11-13,Eua Ncaa,21:00,Presbyterian,Citadel,1.59,2.35,134.5,1.8,1.91,-3.5,1.83,1.83,AH6b6xOf,0.6289308,0.42553192,0.5555556,0.5235602,0.05446273,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27279246,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.6
2023-11-13,Eua Ncaa,21:00,South Carolina St,North Florida,2.47,1.55,152.5,1.83,1.83,3.5,1.91,1.8,UgoBQL3b,0.4048583,0.6451613,0.5464481,0.5464481,0.05001959,0.0,0.0,,,,,,,,,0.0,0.0,0.0,170.1,0.0,0.0,0.0,0.0,0.32365087,0.0,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casa,1.91,1,0.91
2023-11-13,Eua Ncaa,21:00,UMass,Quinnipiac,1.26,3.72,153.5,1.8,1.91,-7.5,1.8,1.91,OAgfM0Pi,0.7936508,0.26881722,0.5555556,0.5235602,0.062468,0.0,0.0,,,,,,,,,0.0,0.0,115.92,0.0,0.0,0.0,0.0,0.0,0.6985874,0.04193086,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.91,1,0.53
2023-11-13,Eua Ncaa,21:30,Middle Tenn. St.,Western Carolina,1.41,2.87,137.5,1.91,1.8,-5.5,1.83,1.83,Wn3f47Gs,0.7092199,0.34843206,0.5235602,0.5555556,0.057651915,0.0,0.0,,,,,,,,,0.0,0.0,113.23,204.48,0.0,0.0,0.0,0.0,0.48241866,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.74
2023-11-13,Eua Ncaa,21:30,Northwestern St.,Stephen F. Austin,5.6,1.14,144.5,1.83,1.83,10.5,1.91,1.8,Of17i9E7,0.17857143,0.877193,0.5464481,0.5464481,0.05576441,0.0,0.0,,,,,,,,,0.0,0.0,0.0,135.16,0.0,0.0,0.0,0.0,0.9358149,0.0,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casa,1.91,1,0.56
2023-11-13,Eua Ncaa,22:00,Arkansas,Old Dominion,1.01,16.0,144.5,1.83,1.83,-21.5,1.83,1.83,x6ma4Iyj,0.990099,0.0625,0.5464481,0.5464481,0.05259901,0.0,0.0,,,,,,,,,0.0,0.0,89.44,127.16,0.0,0.0,0.0,0.0,1.2462705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.61
2023-11-13,Eua Ncaa,22:00,Kansas State,South Dakota St.,1.18,4.89,153.5,1.8,1.91,-12.5,1.83,1.83,U7tIcd7s,0.84745765,0.20449898,0.5555556,0.5235602,0.051956605,0.0,0.0,,,,,,,,,0.0,0.0,83.83,0.0,0.0,0.0,1.0,0.0,0.86437106,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.73
2023-11-13,Eua Ncaa,22:00,Missouri State,Oral Roberts,1.34,3.23,142.5,1.91,1.8,-6.5,1.83,1.83,pKfjNtAo,0.74626863,0.30959752,0.5235602,0.5555556,0.055866178,0.0,0.0,,,,,,,,,0.0,0.0,0.0,145.55,0.0,0.0,0.0,0.0,0.5848717,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.76
2023-11-13,Eua Ncaa,23:00,UTEP,UC Santa Barbara,1.64,2.23,142.5,1.8,1.91,-3.5,1.83,1.83,l8DBGOdR,0.6097561,0.44843048,0.5555556,0.5235602,0.05818659,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21560362,0.04193086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.83,1,0.61
2023-11-13,Europa Liga Aba,14:00,Krka,Cibona,1.5,2.54,161.5,1.86,1.88,-5.5,2.02,1.71,lWVdIVwr,0.6666667,0.39370078,0.53763443,0.5319149,0.060367454,0.0,0.0,,,,,,,,,0.0,0.0,0.0,114.24,0.0,0.0,0.0,0.0,0.36405498,0.007562639,0.117535174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.71,1,0.61
2023-11-13,Europa Liga Aba 2,11:00,Subotica,Borac Banja Luka,1.3,3.3,157.5,1.83,1.83,-8.5,2.01,1.72,hvV3DwA5,0.7692308,0.3030303,0.5464481,0.5464481,0.07226107,0.0,0.0,,,,,,,,,0.0,0.0,106.4,0.0,0.0,0.0,0.0,0.0,0.61487544,0.0,0.10995226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fora,1.72,1,0.77
