Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A,Fixture ID,P(H),P(A),P(O),P(U),P_Diff,Avg_CG_H,DP_CG_H,CV_CG_H,Avg_Pontos_H,DP_Pontos_H,CV_Pontos_H,CG_H_Last_Game,Media_Odds_Geral_H,DP_Odds_Geral_H,CV_Odds_Geral_H,Saldo_Gols_H,Avg_CG_A,DP_CG_A,CV_CG_A,Avg_Pontos_A,DP_Pontos_A,CV_Pontos_A,CG_A_Last_Game,Media_Odds_Geral_A,DP_Odds_Geral_A,CV_Odds_Geral_A,Saldo_Gols_A,Goals_Last_H,Goals_Last_A,Last_Odd_H,Last_Odd_A,MediaCustoGolHome,MediaCustoGolAway,CV_ML,CV_Over,CV_HA,Retornos_BH_Acu,Avg_Retornos_BH,Custo_Retorno_BH,Avg_Porc_BH_Bookie,Avg_Porc_BH_Real,Dist_Porc_BH,Retornos_BA_Acu,Avg_Retornos_BA,Custo_Retorno_BA,Avg_Porc_BA_Bookie,Avg_Porc_BA_Real,Dist_Porc_BA
2024-12-21,Turquia Superliga,09:30,Yalovaspor,Mersin SK,2.66,1.45,165.5,1.82,1.92,3.5,2.02,1.7,8nmvtUd4,0.37593984962406013,0.6896551724137931,0.5494505494505494,0.5208333333333334,0.06559502203785339,392.69,291.6038557701184,0.7425802943036961,0.6,1.3416407864998738,2.23606797749979,144.3,5.183999999999999,3.5520599657100385,0.6851967526446835,-37.0,322.66200000000003,128.97062463987683,0.39970812999323385,1.2,1.6431676725154984,1.3693063937629155,210.90000000000003,4.2299999999999995,2.0467657413587905,0.4838689695883666,-30.0,65,95,2.22,2.22,198.858,0.0,0.4163499782168966,0.03781319685489554,0.12165277955897595,-2.0700000000000003,-0.41400000000000003,-4.009661835748792,0.6563329628674447,0.7,0.043667037132555264,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-21,Eua Nba,22:30,Dallas Mavericks,Los Angeles Clippers,1.68,2.27,220.5,1.84,2.0,-3.5,2.0,1.84,hIspux5d,0.5952380952380952,0.44052863436123346,0.5434782608695652,0.5,0.035766729599328695,176.434,38.338331080004004,0.2172955954068037,2.4,1.3416407864998738,0.5590169943749475,132.04999999999998,1.418,0.18673510650116115,0.13168907369616442,35.0,257.74,86.87610718718928,0.337068779340379,1.2,1.6431676725154984,1.3693063937629155,374.06,2.432,0.8422410581300344,0.346316224560047,-1.0,95,118,1.39,3.17,198.224,298.51200000000006,0.21123696248104457,0.05892556509887893,0.05892556509887893,0.2500000000000002,0.050000000000000044,13.599999999999987,0.7022992409311317,0.6,-0.10229924093113174,-0.6300000000000003,-0.12600000000000006,-10.079365079365076,0.3532074766534941,0.5,0.1467925233465059
2024-12-21,Portugal Proliga,12:00,CB Queluz,Portimonense,1.97,1.71,144.5,1.83,1.83,1.5,1.84,1.82,AmsLPfiA,0.5076142131979695,0.5847953216374269,0.5464480874316939,0.5464480874316939,0.09240953483539638,161.29199999999997,85.33542593788349,0.5290741384438379,3.0,0.0,0.0,142.74,2.1719999999999997,1.1367365569911085,0.523359372463678,64.0,134.22199999999998,44.14081467304383,0.3288642299551775,1.2,1.6431676725154984,1.3693063937629155,167.2,1.902,0.3627257917490842,0.19070756663989707,-31.0,78,80,1.83,2.09,0.0,216.77400000000003,0.09991726255896867,0.0,0.007727942963787411,0.0,0.0,0.0,0.0,0.0,0.0,-1.27,-0.254,-2.795275590551181,0.4736048944223496,0.3,-0.1736048944223496
2024-12-21,Polônia Liga Feminina De Basquete,12:00,Sleza Wroclaw F,Polkowice F,1.56,2.21,148.5,1.83,1.83,-7.5,1.95,1.72,Eu4zIdWF,0.641025641025641,0.45248868778280543,0.5464480874316939,0.5464480874316939,0.09351432880844635,125.768,35.61022142587714,0.2831421460616146,1.8,1.6431676725154982,0.9128709291752768,136.5,1.6780000000000002,0.4418936523644575,0.2633454424102845,39.0,120.242,42.3444733111654,0.3521604207445435,3.0,0.0,0.0,172.49999999999997,1.47,0.5999166608788257,0.40810657202641204,46.0,78,75,1.75,2.3,235.074,119.49600000000001,0.24382992454708532,0.0,0.08862918783264627,-1.74,-0.348,-1.6091954022988508,0.5558442011201692,0.6,0.04415579887983079,2.11,0.422,2.867298578199052,0.754371230096955,0.9,0.14562876990304507
2024-12-21,Eua Ncaa,18:00,Portland,Lafayette,1.55,2.47,141.5,1.91,1.8,-3.5,1.91,1.91,dlqVlLjR,0.6451612903225806,0.4048582995951417,0.5235602094240838,0.5555555555555556,0.05001958991772226,237.18,157.1397874505372,0.6625338875560216,0.6,1.3416407864998738,2.23606797749979,122.24,3.66,2.8344399799607682,0.7744371529947454,-57.0,146.892,88.16366694960006,0.6001937950984401,1.8,1.6431676725154984,0.9128709291752769,303.18,2.162,1.526784202171348,0.7061906578035838,14.0,64,62,1.91,4.89,172.10999999999999,526.328,0.32365086502070833,0.04193086033990304,0.0,-3.6,-0.72,-0.763888888888889,0.37698232730938647,0.4,0.023017672690613555,-3.42,-0.6839999999999999,-2.1491228070175445,0.4120959704787932,0.4,-0.012095970478793183
2024-12-21,Eua Ncaa,18:00,Northern Iowa,Washington State,2.38,1.63,148.5,1.8,1.95,2.5,2.0,1.71,IisDSryd,0.42016806722689076,0.6134969325153374,0.5555555555555556,0.5128205128205129,0.03366499974222825,117.022,25.608297873931424,0.21883319268113194,2.4,1.3416407864998738,0.5590169943749475,125.84,1.45,0.4648117898676839,0.3205598550811613,107.0,205.80599999999998,145.53401107644908,0.707141730933253,1.8,1.6431676725154984,0.9128709291752769,162.06000000000003,2.8560000000000003,2.270755380925035,0.7950824162902782,14.0,104,73,1.21,2.22,108.54,295.25,0.2645037834862397,0.056568542494923775,0.1105449954415627,-1.65,-0.32999999999999996,-4.181818181818182,0.7244411212190446,0.7,-0.024441121219044626,9.3,1.86,0.33870967741935476,0.44348756469442874,0.6,0.15651243530557124
2024-12-21,Eua Ncaa,23:30,Cal St. Bakersfield,Portland State,1.63,2.38,144.5,1.8,1.95,-4.5,2.0,1.71,vTKGMHjB,0.6134969325153374,0.42016806722689076,0.5555555555555556,0.5128205128205129,0.03366499974222825,305.182,209.28265771439357,0.6857634385854787,1.2,1.6431676725154982,1.3693063937629153,148.23000000000002,4.651999999999999,3.3047344825265466,0.7103900435353713,-22.0,181.03399999999996,88.40746082769257,0.48834727635522934,1.8,1.6431676725154982,0.9128709291752768,200.07,2.398,1.1261749420050153,0.46963091826731246,-4.0,81,81,1.83,2.47,175.308,312.254,0.2645037834862397,0.056568542494923775,0.1105449954415627,4.880000000000001,0.9760000000000002,0.6454918032786883,0.4951726906524837,0.7,0.20482730934751625,-0.7699999999999998,-0.15399999999999997,-8.961038961038962,0.3544328888304517,0.2,-0.1544328888304517
2024-12-21,Eua Ncaa,17:30,Morehead State,Tennessee State,1.56,2.52,147.5,1.8,1.95,-5.5,2.05,1.71,fiNkfGt4,0.641025641025641,0.3968253968253968,0.5555555555555556,0.5128205128205129,0.03785103785103772,258.01599999999996,187.37824374777344,0.7262272252409675,1.2,1.6431676725154982,1.3693063937629153,101.5,3.466,2.3892530213437,0.6893401677275534,-21.0,321.40400000000005,164.3458129372331,0.511337173579772,0.0,0.0,,195.75,4.5200000000000005,2.910463880552377,0.6439079381753046,-63.0,70,75,1.45,2.61,101.226,345.5400000000001,0.3327561323230812,0.056568542494923775,0.12788101361884366,1.02,0.20400000000000001,2.7450980392156863,0.810141196219711,0.9,0.08985880378028899,-5.0,-1.0,-1.52,0.29302543497854805,0.0,-0.29302543497854805
2024-12-21,Eua Ncaa,16:00,Ball State,Evansville,1.65,2.33,139.5,1.8,1.95,-4.5,2.05,1.71,l68rW0Ta,0.6060606060606061,0.4291845493562232,0.5555555555555556,0.5128205128205129,0.03524515541682938,129.582,35.60040477297976,0.2747326385839064,1.2,1.6431676725154982,1.3693063937629153,154.79999999999998,1.9240000000000002,0.49902905727021557,0.25937061188680643,-31.0,216.346,146.57482587402248,0.6775018991523878,0.6,1.3416407864998738,2.23606797749979,200.88000000000002,3.532,2.4694068113617895,0.699152551348185,-37.0,86,54,1.8,3.72,107.756,385.76200000000006,0.2416244277421369,0.056568542494923775,0.12788101361884366,-3.0,-0.6,-1.0833333333333333,0.5934361161450621,0.2,-0.3934361161450621,-5.0,-1.0,-1.33,0.2666409965604132,0.2,-0.06664099656041317
2024-12-21,Eua Ncaa,15:00,Marist,UMBC Retrievers,1.61,2.42,146.5,1.8,1.95,-4.5,2.0,1.71,8bNdLww2,0.6211180124223602,0.4132231404958678,0.5555555555555556,0.5128205128205129,0.034341152918228035,108.58599999999998,34.69200599561806,0.31948875541615,2.4,1.3416407864998738,0.5590169943749475,122.39999999999999,1.634,0.28693204770467867,0.17560100838719625,12.0,361.576,193.96470111852827,0.5364424107754061,1.8,1.6431676725154984,0.9128709291752769,533.0,4.736,3.2145808435937653,0.6787544010966565,21.0,68,82,1.8,6.5,93.098,551.86,0.2842463983926071,0.056568542494923775,0.1105449954415627,2.5,0.5,1.2200000000000002,0.6642759912008389,0.8,0.13572400879916113,-0.8099999999999996,-0.16199999999999992,-8.765432098765435,0.29595650009529395,0.5,0.20404349990470605
