Date,Season,Season_Time,Time,Home,Away,Home_Pts,Away_Pts,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
2019-05-10,2019,WNBA - PRÉ-TEMPORADA,20:00,Minnesota Lynx F,Washington Mystics F,86.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-11,2019,WNBA - PRÉ-TEMPORADA,23:00,Phoenix Mercury F,Los Angeles Sparks F,82.0,75.0,1.71,2.0,157.5,1.83,1.83,-4.5,1.99,1.71
2019-05-13,2019,WNBA - PRÉ-TEMPORADA,20:00,Connecticut Sun F,New York Liberty F,100.0,66.0,1.34,3.15,155.0,1.81,1.89,-8.0,1.95,1.74
2019-05-13,2019,WNBA - PRÉ-TEMPORADA,18:00,Atlanta Dream F,Dallas Wings F,82.0,59.0,1.5,2.5,155.0,1.83,1.83,-7.0,1.97,1.73
2019-05-14,2019,WNBA - PRÉ-TEMPORADA,18:00,Atlanta Dream F,New York Liberty F,92.0,87.0,1.26,3.65,158.5,1.83,1.83,0.0,1.86,0.0
2019-05-14,2019,WNBA - PRÉ-TEMPORADA,13:00,Chicago Sky F,Indiana Fever F,58.0,69.0,1.45,2.6,156.5,1.83,1.83,-5.5,1.99,1.71
2019-05-14,2019,WNBA - PRÉ-TEMPORADA,20:00,Connecticut Sun F,Dallas Wings F,67.0,71.0,1.2,4.3,161.5,1.83,1.83,0.0,1.83,0.0
2019-05-15,2019,WNBA - PRÉ-TEMPORADA,23:00,Seattle Storm F,Phoenix Mercury F,84.0,87.0,2.2,1.62,155.5,1.83,1.83,1.5,1.97,1.73
2019-05-16,2019,WNBA - PRÉ-TEMPORADA,13:00,Indiana Fever F,Chicago Sky F,76.0,65.0,1.62,2.2,149.5,1.81,1.89,-5.0,1.98,1.72
2019-05-17,2019,WNBA - PRÉ-TEMPORADA,20:00,Atlanta Dream F,Washington Mystics F,64.0,75.0,2.2,1.62,158.5,1.83,1.83,1.5,1.97,1.73
2019-05-17,2019,WNBA - PRÉ-TEMPORADA,23:30,Los Angeles Sparks F,Seattle Storm F,92.0,85.0,0.0,0.0,149.5,1.81,2.0,-4.5,1.98,1.72
2019-05-19,2019,WNBA - PRÉ-TEMPORADA,15:00,New York Liberty F,Connecticut Sun F,79.0,98.0,3.3,1.31,155.5,1.83,1.83,5.5,1.95,1.74
2019-05-19,2019,WNBA - PRÉ-TEMPORADA,16:00,Dallas Wings F,Indiana Fever F,66.0,71.0,1.66,2.1,148.5,1.83,1.87,-3.5,1.93,1.76
2019-05-19,2019,WNBA - PRÉ-TEMPORADA,16:30,Las Vegas Aces F,Minnesota Lynx F,75.0,79.0,1.62,2.2,157.5,1.81,2.0,-3.5,1.93,1.76
2019-05-24,2019,WNBA,20:30,Atlanta Dream F,Dallas Wings F,76.0,72.0,1.16,5.5,155.0,1.81,2.0,-11.0,1.96,1.86
2019-05-24,2019,WNBA,21:00,New York Liberty F,Indiana Fever F,80.0,81.0,1.62,2.4,157.5,1.9,1.9,-3.5,1.9,1.9
2019-05-25,2019,WNBA,21:00,Minnesota Lynx F,Chicago Sky F,89.0,71.0,1.55,2.6,159.5,1.9,1.9,-4.5,1.97,1.85
2019-05-25,2019,WNBA,16:30,Seattle Storm F,Phoenix Mercury F,77.0,68.0,2.65,1.54,157.0,1.83,1.98,2.5,1.95,1.86
2019-05-25,2019,WNBA,20:30,Connecticut Sun F,Washington Mystics F,84.0,69.0,1.41,3.0,165.0,1.9,1.9,-6.0,1.97,1.85
