Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
zqIo9UGd,2024-07-01,Brasil Lbf Feminina,19:00,Sampaio F,Campinas F,1.14,5.08,129.5,1.83,1.83,0.0,0.0,0.0
b3O7GCOM,2024-07-01,Brasil Lbf Feminina,21:00,Ituano F,SESI Araraquara F,1.66,2.13,130.5,1.85,1.85,0.0,0.0,0.0
fikK7mfI,2024-07-01,Austrália Nbl1 Sul,07:00,Ringwood,Waverley,2.2,1.62,177.5,1.81,1.98,1.5,2.01,1.65
lOXYADHD,2024-07-01,Austrália Nbl1 Sul,05:00,Ringwood F,Waverley F,2.26,1.59,149.5,1.8,1.88,-2.5,1.95,1.92
fDKAeo4f,2024-07-01,Bolívia Libobasquet,20:00,Saracho,Basquetbol La Paz,1.17,4.61,176.5,1.85,1.85,0.0,0.0,0.0
Y3JEf5J0,2024-07-01,Bolívia Libobasquet,21:30,Leones de Potosi,Carl A-Z,1.17,4.7,160.5,1.85,1.85,0.0,0.0,0.0
lnKPAUZG,2024-07-01,Canadá Cebl,19:00,Edmonton Stingers,Saskatchewan Rattlers,1.35,2.86,179.5,1.83,1.83,0.0,0.0,0.0
63z2Z2mf,2024-07-01,Eua Wnba,23:00,Phoenix Mercury F,Connecticut Sun F,1.98,1.83,168.5,1.88,1.92,-2.5,1.85,2.6
lSP6YM20,2024-07-01,Eua Wnba,23:00,Seattle Storm F,Dallas Wings F,1.15,5.6,168.5,1.86,1.92,0.0,0.0,0.0
jHH40eFN,2024-07-01,Paraguai Lnb,20:30,Dep. San Jose,Olimpia,1.58,2.29,152.5,1.86,1.8,0.0,0.0,0.0
b1mXKyth,2024-07-01,Porto Rico Bsn,21:00,Leones De Ponce,Cangrejeros,2.15,1.65,173.5,1.84,1.86,1.5,2.0,1.51
SxJ6DMpR,2024-07-01,Singapura Nbl,08:00,Police,Tungsan,1.13,5.45,140.5,1.85,1.85,0.0,0.0,0.0
CEnNvPxB,2024-07-01,Singapura Nbl,09:30,Chong Ghee,Eng Tat Hornets,5.46,1.13,135.5,1.85,1.85,0.0,0.0,0.0
WA9U9lkN,2024-07-01,Canadá Cebl,21:00,Vancouver Bandits,Niagara River,1.77,1.95,175.5,1.83,1.83,0.0,0.0,0.0
2y1EaYHF,2024-07-01,Mundo Amistosos Internacionais,15:00,Espanha U20 F,Polónia U20 F,1.05,25.0,130.5,1.84,1.86,0.0,0.0,0.0
80rqHMRq,2024-07-01,Mundo Amistosos Internacionais,16:10,França F,Finlândia F,1.02,39.0,161.5,1.81,1.89,0.0,0.0,0.0
EDJsA68U,2024-07-01,Porto Rico Bsn,21:00,Indios de Mayaguez,Capitanes De Arecibo,1.94,1.78,184.5,1.8,1.9,0.0,0.0,0.0
rmSHLr6j,2024-07-01,Porto Rico Bsn,21:00,Vaqueros de Bayamon,Mets de Guaynabo,2.15,1.65,175.5,1.8,1.9,0.0,0.0,0.0
SxLuse3l,2024-07-01,Venezuela Superliga,20:00,Brillantes,Frontinos,1.31,3.25,152.5,1.86,1.84,0.0,0.0,0.0
